Original Product Name,Blinded Product Name
AROTIKA Rub 35g BDC,Product 01
AROTIKA Rub Location 80ml,Product 02
AROTIKA Rub SprayPak 60ml BDC,Product 03
Arotika cool spay 60ml,Product 04
Capsika 0.0125%gel 35g BDC,Product 05
Capsika-25 (0.025%) Gel 35g,Product 06
Capsika-25 Lotion Spray 100ml,Product 07
Capsika-25 LotionSpongPak 80ml,Product 08
Capsika-75 Lotion Spong Pak 80ml,Product 09
Clena TM EX (Anti melasma) 15g,Product 10
Clenascar gel 15g BDC,Product 11
Diabederm Cream 10% 35g,Product 12
Diabederm Cream 20% 35g,Product 13
Diabederm lotion 10% 200mL,Product 14
Finasteride 1mg (3BI/Box),Product 15
Gastro bismol 524,Product 16
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,Product 17
Glucosa 1500mg Red Sach1x30,Product 18
Glucosa-500mg Cap/BI BDC,Product 19
Nacoxib 90 mg,Product 20
Plaivana cream 14% 35g BDC,Product 21
Precius 6x10's,Product 22
Prozeus 15 (ກະປ໋ອງ),Product 23
Prozeus 15 10Sach,Product 24
Raqua cleansing gel 80 mL,Product 25
Tristan (etoricoxib) 90mg,Product 26
Zentozide 1x4's,Product 27
