ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม
Capsika 0.0125%gel 35g BDC,10,38,1,10,0,13,5,67
Capsika-25 (0.025%) Gel 35g,10,50,0,8,17,0,15,90
Capsika-25 Lotion Spray 100ml,10,14,0,2,9,2,1,28
Capsika-25 LotionSpongPak 80ml,10,0,0,0,0,0,0,0
Capsika-75 Lotion Spong Pak 80ml,10,0,0,0,0,0,0,0
AROTIKA Rub 35g BDC,10,12,0,10,2,50,34,108
AROTIKA Rub SprayPak 60ml BDC,10,12,0,6,8,3,12,41
AROTIKA Rub Location 80ml,10,8,0,2,0,0,6,16
Plaivana cream 14% 35g BDC,10,16,1,6,0,0,8,31
Arotika cool spay 60ml,15,17,0,6,6,10,11,50
Clenascar gel 15g BDC,10,11,5,0,5,23,4,48
Glucosa 1500mg Red Sach1x30,10,23,1,58,22,11,15,130
Glucosa-500mg Cap/BI BDC,10,7,2,42,24,18,13,106
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,19,1,19,16,8,5,68
Prozeus 15 10Sach,20,0,0,0,0,8,0,8
Prozeus 15 (ກະປ໋ອງ),40,7,0,1,0,0,0,8
Tristan (etoricoxib) 90mg,3,12,0,13,39,59,20,143
Gastro bismol 524,5,14,0,36,2,11,41,104
Finasteride 1mg (3BI/Box),20,42,0,60,18,6,33,159
Nacoxib 90 mg,10,90,12,53,63,27,22,267
Diabederm Cream 10% 35g,10,16,1,18,4,17,14,70
Diabederm Cream 20% 35g,10,41,0,21,13,12,18,105
