"การคำนวณค่าเชียร์ SSA เพื่อตรวจสอบความถูกต้อง
เดือน Apr 2026",,,,,,,,,
ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม,ค่าเชียร์
Capsika 0.0125%gel 35g BDC,5,16,0,9,15,2,16,58,290
Capsika-25 (0.025%) Gel 35g,5,32,14,19,49,8,47,169,845
Capsika-25 Lotion Spray 100ml,10,0,0,0,7,0,0,7,70
AROTIKA Rub 35g BDC,5,26,0,13,20,11,14,84,420
AROTIKA Rub SprayPak 60ml BDC,10,18,0,8,21,8,11,66,660
AROTIKA Rub Location 80ml,10,7,0,6,12,1,1,27,270
Plaivana cream 14% 35g BDC,5,10,1,32,20,0,21,84,420
Arotika cool spay 60ml,10,21,3,8,11,14,6,63,630
Clenascar gel 15g BDC,10,0,0,3,4,16,3,26,260
Glucosa 1500mg Red Sach1x30,10,45,1,56,52,19,15,188,1880
Glucosa-500mg Cap/BI BDC,10,54,0,44,30,16,26,170,1700
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,17,0,18,20,12,6,73,730
Prozeus 15 10Sach,10,4,1,6,3,6,15,35,350
Prozeus 15 (ກະປ໋ອງ),20,7,0,0,7,3,8,25,500
Tristan (etoricoxib) 90mg,2,18,0,74,47,10,0,149,298
Gastro bismol 524,5,86,0,24,143,36,77,366,1830
Finasteride 1mg (3BI/Box),20,27,0,27,13,7,23,97,1940
Nacoxib 90 mg,5,86,5,101,71,11,28,302,1510
Diabederm Cream 10% 35g,5,8,1,33,21,7,9,79,395
Diabederm Cream 20% 35g,5,18,2,34,27,21,35,137,685
Zentozide 1x4's,3,16,0,2,9,0,0,27,81
Precius 6x10's,25,14,0,9,19,0,7,49,1225
Clena TM EX (Anti melasma) 15g,10,69,9,65,94,45,47,329,3290
Raqua cleansing gel 80 mL,5,0,0,0,0,0,0,0,0
Diabederm lotion 10% 200mL,10,0,0,0,0,0,0,0,0
รวม,,599,37,591,715,253,415,2610,20279
