ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม
Capsika 0.0125%gel 35g BDC,5,45,2,8,12,7,18,92
Capsika-25 (0.025%) Gel 35g,5,60,3,12,10,0,24,109
Capsika-25 Lotion Spray 100ml,10,11,0,7,20,1,3,42
Capsika-25 LotionSpongPak 80ml,10,0,0,0,0,0,0,0
Capsika-75 Lotion Spong Pak 80ml,10,0,0,0,0,0,0,0
AROTIKA Rub 35g BDC,5,18,0,6,6,11,26,67
AROTIKA Rub SprayPak 60ml BDC,10,16,0,9,14,9,5,53
AROTIKA Rub Location 80ml,10,10,0,0,2,1,1,14
Plaivana cream 14% 35g BDC,5,27,2,9,5,4,32,79
Arotika cool spay 60ml,10,22,3,9,20,0,11,65
Clenascar gel 15g BDC,10,0,0,0,4,0,0,4
Glucosa 1500mg Red Sach1x30,10,53,1,45,48,19,22,188
Glucosa-500mg Cap/BI BDC,10,32,2,46,35,14,24,153
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,13,2,22,7,2,6,52
Prozeus 15 10Sach,20,6,0,0,2,0,10,18
Prozeus 15 (ກະປ໋ອງ),40,3,0,5,5,0,4,17
Tristan (etoricoxib) 90mg,2,15,4,2,51,64,10,146
Gastro bismol 524,5,24,4,42,19,32,50,171
Finasteride 1mg (3BI/Box),20,0,0,0,0,3,0,3
Nacoxib 90 mg,5,84,5,97,78,27,61,352
Diabederm Cream 10% 35g,5,11,1,18,12,15,10,67
Diabederm Cream 20% 35g,5,21,1,9,11,3,18,63
Zentozide 1x4's,3,2,0,0,0,0,0,2
Precius 6x10's,25,1,0,2,25,0,2,30
