"การคำนวณค่าเชียร์ SSA เพื่อตรวจสอบความถูกต้อง
เดือน August 2026",,,,,,,,,
ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม,ค่าเชียร์
Capsika 0.0125%gel 35g BDC,5,63,5,7,86,0,28,189,945
Capsika-25 (0.025%) Gel 35g,5,85,4,3,21,4,17,134,670
Capsika-25 Lotion Spray 100ml,10,0,0,0,0,0,0,0,0
AROTIKA Rub 35g BDC,5,57,0,8,16,10,21,112,560
AROTIKA Rub SprayPak 60ml BDC,10,20,0,17,27,7,3,74,740
AROTIKA Rub Location 80ml,10,10,0,3,5,0,3,21,210
Plaivana cream 14% 35g BDC,5,34,3,17,19,3,17,93,465
Arotika cool spay 60ml,10,29,0,4,43,18,5,99,990
Clenascar gel 15g BDC,10,0,0,0,3,11,3,17,170
Glucosa 1500mg Red Sach1x30,10,57,3,52,67,31,19,229,2290
Glucosa-500mg Cap/BI BDC,10,49,1,45,32,23,35,185,1850
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,23,1,26,26,6,7,89,890
Prozeus 15 10Sach,10,10,0,3,13,7,12,45,450
Prozeus 15 (ກະປ໋ອງ),20,10,0,2,8,3,5,28,560
Tristan (etoricoxib) 90mg,2,15,2,78,3,18,12,128,256
Gastro bismol 524,5,24,0,19,105,17,88,253,1265
Finasteride 1mg (3BI/Box),20,0,0,0,0,0,0,0,0
Nacoxib 90 mg,5,78,8,81,72,20,65,324,1620
Diabederm Cream 10% 35g,5,19,1,20,48,6,6,100,500
Diabederm Cream 20% 35g,5,29,2,34,32,7,18,122,610
Zentozide 1x4's,3,15,0,0,1,2,0,18,54
Precius 6x10's,25,12,0,14,60,1,17,104,2600
Clena TM EX (Anti melasma) 15g,10,60,9,63,118,57,27,334,3340
Raqua cleansing gel 80 mL,5,0,0,0,0,1,0,1,5
Diabederm lotion 10% 200mL,10,0,0,3,1,0,0,4,40
รวม,,699,39,496,805,251,408,2698,21080
