ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม
Capsika 0.0125%gel 35g BDC,5,24,0,13,25,2,10,74
Capsika-25 (0.025%) Gel 35g,5,55,1,17,28,1,46,148
Capsika-25 Lotion Spray 100ml,10,2,2,1,18,1,0,24
Capsika-25 LotionSpongPak 80ml,10,0,0,0,0,0,0,0
Capsika-75 Lotion Spong Pak 80ml,10,0,0,0,0,0,0,0
AROTIKA Rub 35g BDC,5,25,2,14,2,23,10,76
AROTIKA Rub SprayPak 60ml BDC,10,15,0,11,0,7,4,37
AROTIKA Rub Location 80ml,10,2,0,6,13,0,6,27
Plaivana cream 14% 35g BDC,5,33,1,8,15,6,11,74
Arotika cool spay 60ml,10,25,0,8,27,13,7,80
Clenascar gel 15g BDC,10,4,1,4,4,12,2,27
Glucosa 1500mg Red Sach1x30,10,74,3,63,41,16,23,220
Glucosa-500mg Cap/BI BDC,10,50,3,40,34,18,18,163
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,1,0,0,0,0,0,1
Prozeus 15 10Sach,10,7,0,9,2,8,15,41
Prozeus 15 (ກະປ໋ອງ),20,4,0,3,4,3,1,15
Tristan (etoricoxib) 90mg,2,15,0,22,12,10,12,71
Gastro bismol 524,5,54,0,10,59,2,82,207
Finasteride 1mg (3BI/Box),20,12,0,11,4,2,9,38
Nacoxib 90 mg,5,96,11,98,134,20,37,396
Diabederm Cream 10% 35g,5,32,1,5,20,10,21,89
Diabederm Cream 20% 35g,5,65,5,6,22,9,19,126
Zentozide 1x4's,3,4,0,0,6,0,0,10
Precius 6x10's,25,27,0,15,44,3,4,93
Clena TM EX (Anti melasma) 15g,10,37,9,26,34,16,15,137
