"การคำนวณค่าเชียร์ SSA เพื่อตรวจสอบความถูกต้อง
เดือน Feb 2026",,,,,,,,,
ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม,ค่าเชียร์
Capsika 0.0125%gel 35g BDC,5,61,3,20,28,4,39,155,775
Capsika-25 (0.025%) Gel 35g,5,52,2,14,20,6,31,125,625
Capsika-25 Lotion Spray 100ml,10,10,0,0,0,0,0,10,100
Capsika-25 LotionSpongPak 80ml,10,0,0,0,0,0,0,0,0
Capsika-75 Lotion Spong Pak 80ml,10,0,0,0,0,0,0,0,0
AROTIKA Rub 35g BDC,5,16,1,7,10,9,11,54,270
AROTIKA Rub SprayPak 60ml BDC,10,75,2,8,20,9,13,127,1270
AROTIKA Rub Location 80ml,10,8,0,6,3,0,3,20,200
Plaivana cream 14% 35g BDC,5,17,5,8,6,3,10,49,245
Arotika cool spay 60ml,10,24,3,5,32,10,14,88,880
Clenascar gel 15g BDC,10,5,2,3,0,11,3,24,240
Glucosa 1500mg Red Sach1x30,10,54,1,40,58,17,21,191,1910
Glucosa-500mg Cap/BI BDC,10,43,2,31,25,12,15,128,1280
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,23,0,18,17,4,11,73,730
Prozeus 15 10Sach,10,2,0,0,9,7,12,30,300
Prozeus 15 (ກະປ໋ອງ),20,4,0,2,5,3,3,17,340
Tristan (etoricoxib) 90mg,2,71,0,8,17,12,6,114,228
Gastro bismol 524,5,24,0,17,148,3,97,289,1445
Finasteride 1mg (3BI/Box),20,18,0,66,30,6,42,162,3240
Nacoxib 90 mg,5,81,2,58,91,21,40,293,1465
Diabederm Cream 10% 35g,10,14,3,26,21,8,15,87,870
Diabederm Cream 20% 35g,10,37,7,41,15,9,14,123,1230
Zentozide 1x4's,3,6,0,0,15,0,1,22,66
Precius 6x10's,25,13,0,5,5,0,0,23,575
Clena TM EX (Anti melasma) 15g,10,42,0,27,35,21,21,146,1460
รวม,,700,33,410,610,175,422,2350,19744
