ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม,ค่าเชียร์
Capsika 0.0125%gel 35g BDC,5,33,3,14,41,2,39,132,660
Capsika-25 (0.025%) Gel 35g,5,96,0,20,30,2,34,182,910
Capsika-25 Lotion Spray 100ml,10,15,0,0,0,0,0,15,150
Capsika-25 LotionSpongPak 80ml,10,0,0,0,0,0,0,0,0
Capsika-75 Lotion Spong Pak 80ml,10,0,0,0,0,0,0,0,0
AROTIKA Rub 35g BDC,5,33,0,7,9,12,9,70,350
AROTIKA Rub SprayPak 60ml BDC,10,30,0,11,14,5,13,73,730
AROTIKA Rub Location 80ml,10,3,0,3,12,0,3,21,210
Plaivana cream 14% 35g BDC,5,25,1,15,5,4,8,58,290
Arotika cool spay 60ml,10,33,0,11,41,6,13,104,1040
Clenascar gel 15g BDC,10,1,2,2,5,28,0,38,380
Glucosa 1500mg Red Sach1x30,10,65,0,46,70,16,28,225,2250
Glucosa-500mg Cap/BI BDC,10,48,2,34,30,16,10,140,1400
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,15,1,23,16,9,2,66,660
Prozeus 15 10Sach,10,6,0,1,3,0,15,25,250
Prozeus 15 (ກະປ໋ອງ),20,6,0,2,0,5,6,19,380
Tristan (etoricoxib) 90mg,2,36,0,5,19,7,9,76,152
Gastro bismol 524,5,59,0,40,182,8,146,435,2175
Finasteride 1mg (3BI/Box),20,27,0,17,13,1,9,67,1340
Nacoxib 90 mg,5,97,4,103,111,25,54,394,1970
Diabederm Cream 10% 35g,10,18,0,22,20,16,57,133,1330
Diabederm Cream 20% 35g,10,36,5,21,16,9,29,116,1160
Zentozide 1x4's,3,9,0,0,24,0,11,44,132
Precius 6x10's,25,23,0,21,20,1,4,69,1725
Clena TM EX (Anti melasma) 15g,10,46,1,25,20,22,18,132,1320
รวม,,760,19,443,701,194,517,2634,20964
