ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม
Capsika 0.0125%gel 35g BDC,5,5,7,25,16,16,60,129
Capsika-25 (0.025%) Gel 35g,5,10,2,6,10,0,25,53
Capsika-25 Lotion Spray 100ml,10,9,1,3,10,0,1,24
Capsika-25 LotionSpongPak 80ml,10,0,0,0,0,0,0,0
Capsika-75 Lotion Spong Pak 80ml,10,0,0,0,0,0,0,0
AROTIKA Rub 35g BDC,5,9,4,7,9,9,39,77
AROTIKA Rub SprayPak 60ml BDC,10,18,2,9,11,10,12,62
AROTIKA Rub Location 80ml,10,0,0,2,5,0,0,7
Plaivana cream 14% 35g BDC,5,21,0,16,13,8,12,70
Arotika cool spay 60ml,10,17,2,7,29,0,2,57
Clenascar gel 15g BDC,10,3,0,0,9,11,0,23
Glucosa 1500mg Red Sach1x30,10,22,3,28,54,17,22,146
Glucosa-500mg Cap/BI BDC,10,49,4,53,24,17,18,165
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,46,4,19,21,15,5,110
Prozeus 15 10Sach,20,2,0,0,5,0,20,27
Prozeus 15 (ກະປ໋ອງ),40,0,0,2,0,0,0,2
Tristan (etoricoxib) 90mg,3,14,0,2,109,45,38,208
Gastro bismol 524,5,12,0,34,55,25,105,231
Finasteride 1mg (3BI/Box),20,26,0,12,31,7,20,96
Nacoxib 90 mg,10,84,14,65,116,30,74,383
Diabederm Cream 10% 35g,5,8,0,6,6,17,21,58
Diabederm Cream 20% 35g,5,15,2,2,6,9,23,57
Zentozide 1x4's,3,0,0,0,0,0,0,0
Precius 6x10's,25,1,0,0,24,0,0,25
