"การคำนวณค่าเชียร์ SSA เพื่อตรวจสอบความถูกต้อง
เดือน July 2026",,,,,,,,,
ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม,ค่าเชียร์
Capsika 0.0125%gel 35g BDC,5,26,0,12,166,5,35,244,1220
Capsika-25 (0.025%) Gel 35g,5,36,1,6,22,6,58,129,645
Capsika-25 Lotion Spray 100ml,10,0,0,0,0,0,0,0,0
AROTIKA Rub 35g BDC,5,36,0,5,25,14,3,83,415
AROTIKA Rub SprayPak 60ml BDC,10,25,0,3,29,7,12,76,760
AROTIKA Rub Location 80ml,10,28,1,1,2,0,1,33,330
Plaivana cream 14% 35g BDC,5,17,0,10,22,10,36,95,475
Arotika cool spay 60ml,10,20,0,8,46,15,7,96,960
Clenascar gel 15g BDC,10,3,0,1,5,6,3,18,180
Glucosa 1500mg Red Sach1x30,10,52,2,56,56,20,30,216,2160
Glucosa-500mg Cap/BI BDC,10,57,0,56,37,19,27,196,1960
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,31,0,27,16,8,14,96,960
Prozeus 15 10Sach,10,8,0,10,14,9,14,55,550
Prozeus 15 (ກະປ໋ອງ),20,2,0,0,5,1,10,18,360
Tristan (etoricoxib) 90mg,2,5,0,152,42,15,24,238,476
Gastro bismol 524,5,27,0,33,131,31,116,338,1690
Finasteride 1mg (3BI/Box),20,0,0,0,0,0,0,0,0
Nacoxib 90 mg,5,65,2,94,80,26,31,298,1490
Diabederm Cream 10% 35g,5,30,2,16,56,4,10,118,590
Diabederm Cream 20% 35g,5,43,3,21,14,9,29,119,595
Zentozide 1x4's,3,8,0,3,0,0,0,11,33
Precius 6x10's,25,13,0,19,20,0,8,60,1500
Clena TM EX (Anti melasma) 15g,10,95,7,81,79,55,33,350,3500
Raqua cleansing gel 80 mL,5,0,0,0,0,0,0,0,0
Diabederm lotion 10% 200mL,10,1,0,0,0,2,0,3,30
รวม,,627,18,614,867,260,501,2887,20879
