ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม
Capsika 0.0125%gel 35g BDC,5,42,2,4,3,7,24,82
Capsika-25 (0.025%) Gel 35g,5,21,7,19,13,0,24,84
Capsika-25 Lotion Spray 100ml,10,7,1,5,8,3,4,28
Capsika-25 LotionSpongPak 80ml,10,0,0,0,0,0,0,0
Capsika-75 Lotion Spong Pak 80ml,10,0,0,0,0,0,0,0
AROTIKA Rub 35g BDC,5,20,1,3,8,7,20,59
AROTIKA Rub SprayPak 60ml BDC,10,13,3,6,17,10,9,58
AROTIKA Rub Location 80ml,10,5,0,0,3,0,3,11
Plaivana cream 14% 35g BDC,5,21,0,40,8,6,13,88
Arotika cool spay 60ml,10,3,0,1,6,0,5,15
Clenascar gel 15g BDC,10,4,0,0,4,12,0,20
Glucosa 1500mg Red Sach1x30,10,35,6,52,23,15,27,158
Glucosa-500mg Cap/BI BDC,10,44,1,52,29,12,12,150
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,15,3,20,15,5,8,66
Prozeus 15 10Sach,20,0,0,0,0,0,6,6
Prozeus 15 (ກະປ໋ອງ),40,1,0,1,1,0,0,3
Tristan (etoricoxib) 90mg,3,18,0,15,29,50,25,137
Gastro bismol 524,5,5,5,1,38,8,27,116
Finasteride 1mg (3BI/Box),20,10,0,21,12,1,13,57
Nacoxib 90 mg,10,84,2,50,71,28,45,280
Diabederm Cream 10% 35g,5,22,1,11,8,4,14,60
Diabederm Cream 20% 35g,5,25,5,16,6,1,29,82
Zentozide 1x4's,3,0,0,0,0,0,0,0
Precius 6x10's,25,0,0,3,18,0,0,21
