ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม
Capsika 0.0125%gel 35g BDC,5,45,1,12,1,18,53,130
Capsika-25 (0.025%) Gel 35g,5,20,5,15,10,0,41,91
Capsika-25 Lotion Spray 100ml,10,4,0,3,4,4,1,16
Capsika-25 LotionSpongPak 80ml,10,0,0,0,0,0,0,0
Capsika-75 Lotion Spong Pak 80ml,10,0,0,0,0,0,0,0
AROTIKA Rub 35g BDC,5,33,0,0,17,31,30,111
AROTIKA Rub SprayPak 60ml BDC,10,12,1,6,5,12,4,40
AROTIKA Rub Location 80ml,10,4,0,0,1,2,0,7
Plaivana cream 14% 35g BDC,5,13,0,2,4,2,16,37
Arotika cool spay 60ml,10,32,1,12,14,7,7,73
Clenascar gel 15g BDC,10,3,0,0,9,17,7,36
Glucosa 1500mg Red Sach1x30,10,33,2,44,34,15,16,144
Glucosa-500mg Cap/BI BDC,10,39,0,43,25,17,21,145
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,27,4,18,8,7,7,71
Prozeus 15 10Sach,20,4,0,0,0,0,0,4
Prozeus 15 (ກະປ໋ອງ),40,4,0,0,0,0,0,4
Tristan (etoricoxib) 90mg,3,7,0,17,38,70,36,168
Gastro bismol 524,5,34,0,44,25,23,83,209
Finasteride 1mg (3BI/Box),20,14,0,17,12,4,14,61
Nacoxib 90 mg,10,59,10,48,66,27,55,265
Diabederm Cream 10% 35g,5,2,3,17,14,0,27,63
Diabederm Cream 20% 35g,5,62,3,5,10,0,43,123
Zentozide 1x4's,3,2,0,0,0,0,0,2
Precius 6x10's,25,0,0,0,14,0,0,14
