"การคำนวณค่าเชียร์ SSA เพื่อตรวจสอบความถูกต้อง
เดือน May 2026",,,,,,,,,
ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม,ค่าเชียร์
Capsika 0.0125%gel 35g BDC,5,36,0,12,119,2,2,171,855
Capsika-25 (0.025%) Gel 35g,5,35,2,6,20,10,26,99,495
Capsika-25 Lotion Spray 100ml,10,0,1,0,0,0,0,1,10
AROTIKA Rub 35g BDC,5,22,11,12,21,22,6,94,470
AROTIKA Rub SprayPak 60ml BDC,10,33,0,11,28,5,22,99,990
AROTIKA Rub Location 80ml,10,3,0,1,3,0,2,9,90
Plaivana cream 14% 35g BDC,5,47,0,10,42,2,11,112,560
Arotika cool spay 60ml,10,12,0,11,31,15,12,81,810
Clenascar gel 15g BDC,10,7,0,7,3,11,1,29,290
Glucosa 1500mg Red Sach1x30,10,65,3,59,57,29,22,235,2350
Glucosa-500mg Cap/BI BDC,10,61,0,30,24,7,20,142,1420
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,32,0,29,20,7,7,95,950
Prozeus 15 10Sach,10,5,0,2,7,4,5,23,230
Prozeus 15 (ກະປ໋ອງ),20,4,0,6,6,0,6,22,440
Tristan (etoricoxib) 90mg,2,16,0,67,40,3,0,126,252
Gastro bismol 524,5,44,0,18,212,7,108,389,1945
Finasteride 1mg (3BI/Box),20,66,0,54,24,9,57,210,4200
Nacoxib 90 mg,5,103,7,65,66,22,45,308,1540
Diabederm Cream 10% 35g,5,6,2,18,30,17,9,82,410
Diabederm Cream 20% 35g,5,36,3,26,9,11,25,110,550
Zentozide 1x4's,3,5,0,8,10,0,4,27,81
Precius 6x10's,25,12,0,21,18,0,9,60,1500
Clena TM EX (Anti melasma) 15g,10,104,10,87,81,43,39,364,3640
Raqua cleansing gel 80 mL,5,0,0,0,0,1,0,1,5
Diabederm lotion 10% 200mL,10,0,0,1,0,0,0,1,10
รวม,,754,39,560,871,226,438,2888,24093
