ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม
Capsika 0.0125%gel 35g BDC,5,26,0,9,31,2,15,83
Capsika-25 (0.025%) Gel 35g,5,29,1,12,17,5,30,94
Capsika-25 Lotion Spray 100ml,10,10,0,13,18,1,15,57
Capsika-25 LotionSpongPak 80ml,10,0,0,0,0,0,0,0
Capsika-75 Lotion Spong Pak 80ml,10,0,0,0,0,0,0,0
AROTIKA Rub 35g BDC,5,32,0,1,4,2,0,39
AROTIKA Rub SprayPak 60ml BDC,10,20,2,7,12,6,1,48
AROTIKA Rub Location 80ml,10,4,0,1,3,0,0,8
Plaivana cream 14% 35g BDC,5,30,3,19,3,3,5,63
Arotika cool spay 60ml,10,20,1,5,27,8,6,67
Clenascar gel 15g BDC,10,3,0,2,3,9,0,17
Glucosa 1500mg Red Sach1x30,10,46,4,54,57,17,15,193
Glucosa-500mg Cap/BI BDC,10,50,1,35,17,12,7,122
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,21,0,9,11,8,6,55
Prozeus 15 10Sach,10,0,1,0,1,9,13,24
Prozeus 15 (ກະປ໋ອງ),20,0,0,3,2,2,8,15
Tristan (etoricoxib) 90mg,2,6,0,15,9,19,14,63
Gastro bismol 524,5,81,0,23,46,14,54,218
Finasteride 1mg (3BI/Box),20,6,0,0,10,2,0,18
Nacoxib 90 mg,5,116,10,81,144,19,44,414
Diabederm Cream 10% 35g,5,13,2,27,27,8,29,106
Diabederm Cream 20% 35g,5,57,5,19,19,6,36,142
Zentozide 1x4's,3,2,0,0,1,0,2,5
Precius 6x10's,25,16,0,11,17,2,2,48
Clena TM EX (Anti melasma) 15g,10,45,0,35,31,21,11,143
