ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม
Capsika 0.0125%gel 35g BDC,5,39,0,7,40,3,7,96
Capsika-25 (0.025%) Gel 35g,5,53,1,12,31,0,19,116
Capsika-25 Lotion Spray 100ml,10,9,0,5,8,3,4,29
Capsika-25 LotionSpongPak 80ml,10,0,0,0,0,0,0,0
Capsika-75 Lotion Spong Pak 80ml,10,0,0,0,0,0,0,0
AROTIKA Rub 35g BDC,5,58,1,7,30,12,10,118
AROTIKA Rub SprayPak 60ml BDC,10,102,2,10,10,11,12,147
AROTIKA Rub Location 80ml,10,2,0,2,6,0,8,18
Plaivana cream 14% 35g BDC,5,42,2,22,3,2,13,84
Arotika cool spay 60ml,10,27,2,5,33,14,4,85
Clenascar gel 15g BDC,10,1,1,9,9,10,1,31
Glucosa 1500mg Red Sach1x30,10,48,0,47,45,13,18,171
Glucosa-500mg Cap/BI BDC,10,39,1,30,19,9,20,118
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,22,1,28,28,10,6,95
Prozeus 15 10Sach,10,7,0,0,4,5,0,16
Prozeus 15 (ກະປ໋ອງ),20,5,0,0,0,2,5,12
Tristan (etoricoxib) 90mg,2,29,0,51,19,38,1,138
Gastro bismol 524,5,18,0,10,7,23,39,97
Finasteride 1mg (3BI/Box),20,0,0,0,0,0,0,0
Nacoxib 90 mg,5,77,5,52,112,27,49,322
Diabederm Cream 10% 35g,5,10,4,17,26,7,20,84
Diabederm Cream 20% 35g,5,23,5,15,16,9,27,95
Zentozide 1x4's,3,2,0,0,1,0,9,12
Precius 6x10's,25,26,0,11,20,2,3,62
Clena TM EX (Anti melasma) 15g,10,27,1,24,13,12,11,88
