ชื่อสินค้า,ราคาค่าเชียร์,SSA1,SSA2,SSA3,SSA5,SSA6,SSA7,รวม
Capsika 0.0125%gel 35g BDC,5,27,1,32,7,7,23,97
Capsika-25 (0.025%) Gel 35g,5,35,0,19,28,2,23,107
Capsika-25 Lotion Spray 100ml,10,12,1,8,7,6,3,37
Capsika-25 LotionSpongPak 80ml,10,0,0,0,0,0,0,0
Capsika-75 Lotion Spong Pak 80ml,10,0,0,0,0,0,0,0
AROTIKA Rub 35g BDC,5,56,1,9,4,21,19,110
AROTIKA Rub SprayPak 60ml BDC,10,35,0,16,5,7,14,77
AROTIKA Rub Location 80ml,10,7,0,3,2,1,0,13
Plaivana cream 14% 35g BDC,5,18,3,24,5,6,16,72
Arotika cool spay 60ml,10,28,1,8,26,6,8,77
Clenascar gel 15g BDC,10,0,0,3,10,0,0,13
Glucosa 1500mg Red Sach1x30,10,50,3,49,64,26,31,223
Glucosa-500mg Cap/BI BDC,10,39,0,36,23,13,20,131
Glucosa 1500mg Lemon Sach BDC 30ຊອງ/ກ,10,26,0,18,32,7,9,92
Prozeus 15 10Sach,10,5,1,0,5,0,14,25
Prozeus 15 (ກະປ໋ອງ),20,7,0,0,1,5,0,13
Tristan (etoricoxib) 90mg,2,13,2,12,20,79,13,139
Gastro bismol 524,5,14,0,18,13,70,13,128
Finasteride 1mg (3BI/Box),20,0,0,0,0,0,0,0
Nacoxib 90 mg,5,86,13,58,101,17,70,345
Diabederm Cream 10% 35g,5,25,1,18,30,13,16,103
Diabederm Cream 20% 35g,5,32,1,7,13,2,51,106
Zentozide 1x4's,3,2,0,0,8,0,7,17
Precius 6x10's,25,43,0,8,3,0,5,59
Clena TM EX (Anti melasma) 15g,10,44,5,24,31,19,31,154
