Product_SKU,Product_Name_Lao,Product_Name_Thai,Product_Name_PAC,Brand_Group,Is_Strategic,Is_Incentive,Classification,Unit
08452,Arotika cool gel 35g BDC,Arotika cool gel 35g BDC,Arotika cool gel 35g BDC,Arotika,Yes,Yes,Strategic,ຫຼອດTub
17225,Arotika cool spray 60ml,Arotika cool spray 60ml,Arotika cool spray 60ml,Arotika,Yes,Yes,Strategic,ກ້ອງFl
08449,Arotika rub 15g BDC,Arotika rub 15g BDC,Arotika rub 15g BDC,Arotika,Yes,Yes,Strategic,ຫຼອດTub
08450,Arotika rub 35g BDC,Arotika rub 35g BDC,Arotika rub 35g BDC,Arotika,Yes,Yes,Strategic,ຫຼອດTub
08451,Arotika rub lotion 60ml BDC,Arotika rub lotion 60ml BDC,Arotika rub lotion 60ml BDC,Arotika,Yes,Yes,Strategic,ກ້ອງFl
13233,Arotika sport cream 15g BDC,Arotika sport cream 15g BDC,Arotika sport cream 15g BDC,Arotika,Yes,Yes,Strategic,ຫຼອດTub
11795,Arotika sport cream 35g BDC,Arotika sport cream 35g BDC,Arotika sport cream 35g BDC,Arotika,Yes,Yes,Strategic,ຫຼອດTub
11850,Arotika sport milky lotion 80ml,Arotika sport milky lotion 80ml,Arotika sport milky lotion 80ml,Arotika,Yes,Yes,Strategic,ກ້ອງFl
10398,Cleanoze ເກືອລ້າງດັງ 20x2.265g,Cleanoze เกลือล้างจมูก 20x2.265g,Cleanoze Cleanoze Nasal Salt 20x2.265g,Cleanoze,No,No,General,ກັບ
12937,Clena scar acne spot gel 7g,Clena scar acne spot gel 7g,Clena scar acne spot gel 7g,Clenascar,Yes,Yes,Strategic,ຫຼອດTub
13034,Clena scar C gel 7g,Clena scar C gel 7g,Clena scar C gel 7g,Clenascar,Yes,Yes,Strategic,ຫຼອດTub
18544,Clena TM EX (Anti melasma) 15g,Clena TM EX (Anti melasma) 15g,Clena TM EX (Anti melasma) 15g,Clenascar,Yes,Yes,Strategic,ຫຼອດTub
19502,Clenascar acne spot gel 7g,Clenascar acne spot gel 7g,Clenascar acne spot gel 7g,Clenascar,Yes,Yes,Strategic,ຫຼອດTub
10799,Clenascar gel 15g BDC,Clenascar gel 15g BDC,Clenascar gel 15g BDC,Clenascar,Yes,Yes,Strategic,ຫຼອດTub
10800,Clenascar gel 35g BDC,Clenascar gel 35g BDC,Clenascar gel 35g BDC,Clenascar,Yes,Yes,Strategic,ຫຼອດTub
11132,Clenascar gel 7g BDC,Clenascar gel 7g BDC,Clenascar gel 7g BDC,Clenascar,Yes,Yes,Strategic,ຫຼອດTub
12725,Clenascar gental face wash 50ml BDC,Clenascar gental face wash 50ml BDC,Clenascar gental face wash 50ml BDC,Clenascar,Yes,Yes,Strategic,ຫຼອດTub
11446,Clenascar post acne gel 7g BDC,Clenascar post acne gel 7g BDC,Clenascar post acne gel 7g BDC,Clenascar,Yes,Yes,Strategic,ຫຼອດTub
07417,Clindamycin 300mg 10Bl/Box PH,Clindamycin 300mg 10Bl/Box PH,Clindamycin 300mg 10Bl/Box PH,Clindamycin,No,No,General,ແຜງ
07846,Clinicold 10Tab/Box BDC,Clinicold 10Tab/Box BDC,Clinicold 10Tab/Box BDC,Clinicold,No,No,General,ກັບ
