Period,Year,Month,Date,Store_ID,Product_Name,Incentive_Rate_THB,Quantity,Incentive_Amount_THB,Status
2025-04,2025,4,2025-04-28,SSA1,Capsika 0.0125%gel 35g BDC,10.0,38,380.0,Official
2025-04,2025,4,2025-04-28,SSA2,Capsika 0.0125%gel 35g BDC,10.0,1,10.0,Official
2025-04,2025,4,2025-04-28,SSA3,Capsika 0.0125%gel 35g BDC,10.0,10,100.0,Official
2025-04,2025,4,2025-04-28,SSA6,Capsika 0.0125%gel 35g BDC,10.0,13,130.0,Official
2025-04,2025,4,2025-04-28,SSA7,Capsika 0.0125%gel 35g BDC,10.0,5,50.0,Official
2025-04,2025,4,2025-04-28,SSA1,Capsika-25 (0.025%) Gel 35g,10.0,50,500.0,Official
2025-04,2025,4,2025-04-28,SSA3,Capsika-25 (0.025%) Gel 35g,10.0,8,80.0,Official
2025-04,2025,4,2025-04-28,SSA5,Capsika-25 (0.025%) Gel 35g,10.0,17,170.0,Official
2025-04,2025,4,2025-04-28,SSA7,Capsika-25 (0.025%) Gel 35g,10.0,15,150.0,Official
2025-04,2025,4,2025-04-28,SSA1,Capsika-25 Lotion Spray 100ml,10.0,14,140.0,Official
2025-04,2025,4,2025-04-28,SSA3,Capsika-25 Lotion Spray 100ml,10.0,2,20.0,Official
2025-04,2025,4,2025-04-28,SSA5,Capsika-25 Lotion Spray 100ml,10.0,9,90.0,Official
2025-04,2025,4,2025-04-28,SSA6,Capsika-25 Lotion Spray 100ml,10.0,2,20.0,Official
2025-04,2025,4,2025-04-28,SSA7,Capsika-25 Lotion Spray 100ml,10.0,1,10.0,Official
2025-04,2025,4,2025-04-28,SSA1,AROTIKA Rub 35g BDC,10.0,12,120.0,Official
2025-04,2025,4,2025-04-28,SSA3,AROTIKA Rub 35g BDC,10.0,10,100.0,Official
2025-04,2025,4,2025-04-28,SSA5,AROTIKA Rub 35g BDC,10.0,2,20.0,Official
2025-04,2025,4,2025-04-28,SSA6,AROTIKA Rub 35g BDC,10.0,50,500.0,Official
2025-04,2025,4,2025-04-28,SSA7,AROTIKA Rub 35g BDC,10.0,34,340.0,Official
