Period,Year,Month,Date,Retail_SSA_Sales_THB,Wholesale_Sales_THB,Total_Sellout_THB,Active_Customers
2025-01,2025,1,2025-01-28,1118022.0,1909489.31,3027511.32,580
2025-02,2025,2,2025-02-28,1271371.76,1810266.69,3081638.45,1316
2025-03,2025,3,2025-03-28,1129857.61,1913644.43,3043502.04,580
2025-04,2025,4,2025-04-28,944463.73,2064029.34,3008493.07,537
2025-05,2025,5,2025-05-28,1402919.68,2354262.6,3757182.29,557
2025-06,2025,6,2025-06-28,1158544.77,2082879.05,3241423.82,575
2025-07,2025,7,2025-07-28,1355818.96,2407686.17,3763505.13,583
2025-08,2025,8,2025-08-28,1125336.03,2605300.56,3730636.59,563
2025-09,2025,9,2025-09-28,1361082.02,2268854.85,3629936.87,586
2025-10,2025,10,2025-10-28,1158517.38,2735173.37,3893690.75,550
2025-11,2025,11,2025-11-28,1000432.71,1831297.43,2831730.15,619
2025-12,2025,12,2025-12-28,893999.2,2240542.72,3134541.93,573
2026-01,2026,1,2026-01-28,856351.98,2215355.7,3071707.69,554
2026-02,2026,2,2026-02-28,766997.86,1819129.62,2586127.47,519
2026-03,2026,3,2026-03-28,1041403.79,2187672.76,3229076.55,546
2026-04,2026,4,2026-04-28,736700.37,1738439.76,2475140.13,537
2026-05,2026,5,2026-05-28,964500.62,1672161.11,2636661.74,542
2026-06,2026,6,2026-06-28,863005.92,2114739.88,2977745.8,542
2026-07,2026,7,2026-07-28,1117044.61,2759586.45,3876631.06,617
2026-08,2026,8,2026-08-28,0.0,3586199.8,3586199.8,578
