Period,Year,Month,Date,Product_SKU,Product_Name,Brand_Group,Category,Is_Strategic,Orders_Count,Quantity,Amount_THB
2026-08,2026,8,2026-08-28,06538,Spascopan (Buscopan) 10mg 50Bl/Box BDC,Spascopan,ยาบรรเทาอาการปวดเกร็งช่องท้อง (Antispasmodics),No,124,4276,311493.63
2026-08,2026,8,2026-08-28,00663,Clinovir (Acidclovir) cream 5g BDC,Clinovir,ยาต้านเชื้อไวรัสเริม/งูสวัด (Antivirals),No,167,3422,271351.77
2026-08,2026,8,2026-08-28,01944,Zenzera (Albendazole) 200mg 2Tab/Bl BDC,Zenzera,ยาถ่ายพยาธิ (Anthelmintics),Yes,138,3818,256650.48
2026-08,2026,8,2026-08-28,01475,Noraphen 500mg 50Bl/Box BDC,Noraphen,ยาแก้ปวด/ต้านการอักเสบ (NSAIDs & Pain Relief),No,20,16942,255787.59
2026-08,2026,8,2026-08-28,01758,Sporoxyl (Ketoconasol) 200mg 10Bl/Box BDC,Sporosil,ยาต้านเชื้อรา (Antifungals),No,134,1147,195793.79
2026-08,2026,8,2026-08-28,08921,Cephalexyl (Cephalexin) 500mg 10Bl/Box SAP,Cephalexyl,ยาปฏิชีวนะ/ฆ่าเชื้อแบคทีเรีย (Antibiotics),No,44,673,195103.16
2026-08,2026,8,2026-08-28,07427,Clinimet (Cimetidine) 400mg 50Bl/Box BDC,Klenimed,ยาลดกรดในกระเพาะอาหาร (Antacids & GI),No,88,6484,182165.02
2026-08,2026,8,2026-08-28,01947,Zertine (Cetirizine) 10mg 10Bl/Box FML,Zertine,ยาแก้แพ้/ต้านฮิสตามีน (Antihistamines),No,172,2398,152728.91
2026-08,2026,8,2026-08-28,07777,Gi-Bismol syrup 240ml (Prink) BDC,Gastro-Bismol,ยาเคลือบกระเพาะ/กรดไหลย้อน (Antacids & GI),Yes,32,513,127894.55
2026-08,2026,8,2026-08-28,01094,Glucosa 500mg 10Bl/Box BDC,Glucosa,ยาบำรุงข้อกระดูก (Osteoarthritis),Yes,65,511,127219.39
2026-08,2026,8,2026-08-28,00644,Ciproxyl (Ciprofloxacin) 500mg 10Bl/Box FML,Ciprocin,ยาปฏิชีวนะ/ฆ่าเชื้อทางเดินปัสสาวะ (Antibiotics),No,47,607,122802.43
