Date,Year_Month,Store_ID,Product_SKU,Quantity,Amount_LAK,Amount_THB_Est
2026-08-31,2026-08,SSA1,08452,55,1925000.0,2961.54
2026-08-31,2026-08,SSA2,08452,10,350000.0,538.46
2026-08-31,2026-08,SSA3,08452,20,698000.0,1073.85
2026-08-31,2026-08,SSA5,08452,26,910000.0,1400.0
2026-08-31,2026-08,SSA6,08452,10,350000.0,538.46
2026-08-31,2026-08,SSA7,08452,71,2473000.0,3804.62
2026-08-31,2026-08,SSA1,17225,29,2929000.0,4506.15
2026-08-31,2026-08,SSA3,17225,4,404000.0,621.54
2026-08-31,2026-08,SSA5,17225,43,4343000.0,6681.54
2026-08-31,2026-08,SSA6,17225,18,1818000.0,2796.92
2026-08-31,2026-08,SSA7,17225,5,505000.0,776.92
2026-08-31,2026-08,SSA1,08449,32,726221.2768,1117.26
2026-08-31,2026-08,SSA3,08449,2,46000.0,70.77
2026-08-31,2026-08,SSA6,08449,19,442661.5384,681.02
2026-08-31,2026-08,SSA7,08449,2,46000.0,70.77
2026-08-31,2026-08,SSA1,08450,57,2555000.0,3930.77
2026-08-31,2026-08,SSA3,08450,8,360000.0,553.85
2026-08-31,2026-08,SSA5,08450,16,720000.0,1107.69
2026-08-31,2026-08,SSA6,08450,10,450000.0,692.31
2026-08-31,2026-08,SSA7,08450,21,945000.0,1453.85
2026-08-31,2026-08,SSA1,08451,20,1400000.0,2153.85
2026-08-31,2026-08,SSA3,08451,17,1190000.0,1830.77
2026-08-31,2026-08,SSA5,08451,27,1890000.0,2907.69
2026-08-31,2026-08,SSA6,08451,7,490000.0,753.85
2026-08-31,2026-08,SSA7,08451,3,210000.0,323.08
2026-08-31,2026-08,SSA1,18544,60,7140000.0,10984.62
2026-08-31,2026-08,SSA2,18544,9,1071000.0,1647.69
2026-08-31,2026-08,SSA3,18544,63,7497000.0,11533.85
2026-08-31,2026-08,SSA5,18544,118,14042000.0,21603.08
2026-08-31,2026-08,SSA6,18544,57,6783000.0,10435.38
2026-08-31,2026-08,SSA7,18544,27,3213000.0,4943.08
2026-08-31,2026-08,SSA2,19502,1,53000.0,81.54
2026-08-31,2026-08,SSA5,19502,2,106000.0,163.08
2026-08-31,2026-08,SSA6,19502,2,106000.0,163.08
2026-08-31,2026-08,SSA7,19502,3,159000.0,244.62
2026-08-31,2026-08,SSA5,10799,3,357000.0,549.23
2026-08-31,2026-08,SSA6,10799,11,1309000.0,2013.85
2026-08-31,2026-08,SSA7,10799,3,357000.0,549.23
2026-08-31,2026-08,SSA1,05108,336,7056000.0,10855.38
2026-08-31,2026-08,SSA2,05108,19,399000.0,613.85
2026-08-31,2026-08,SSA3,05108,90,1890000.0,2907.69
2026-08-31,2026-08,SSA5,05108,164,3444000.0,5298.46
